title,email
유플렉스소프트,uplexsoft
인썸니아,insomenia
삼성,samsung
LG,lg
왓챠,watcha
넷플릭스,netflix
한화,hanhwa
SK,sk
KT,kt
ASUS,asus
Apple,apple
롯데,lotte
당근마켓,daangn
카카오,kakao
현대,hyundai
금호,kumho
한진,hanjin
해태,ht
미원,miwon
코오롱,kolon
동아,donga
아마존,amazon
인텔,intel
페이스북,facebook
이베이,ebay
