position,title,lat,lng,location_near,location_normal,location_far
29,팔달로2가,37.278483,127.016998,"28, 29, 30,
  31, 32, 33, 34, 35, 38, 40, 41, 47","6, 28, 29, 30, 31,
  32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49","2, 6, 7, 8, 9, 12,
  13, 17, 18, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
  41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
30,팔달로3가,37.276243,127.016038,"28, 29, 30,
  31, 32, 33, 34, 35, 38, 40, 41, 47","6, 28, 29, 30, 31,
  32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49","2, 6, 7, 8, 9, 12,
  13, 17, 18, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
  41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
31,남창동,37.27934,127.014401,"28, 29, 30,
  31, 32, 33, 34, 35, 36, 37, 38, 39, 47","6, 9, 28, 29, 30, 31,
  32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49","1, 2, 5, 6, 7, 8, 9,
  11, 12, 13, 17, 18, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38,
  39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
32,영동,37.276173,127.018257,"28, 29, 30,
  31, 32, 33, 34, 35, 40, 41, 47, 49","6, 28, 29, 30, 31,
  32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49","2, 6, 7, 8, 9, 12,
  13, 17, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41,
  42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
33,중동,37.273755,127.016546,"28, 29, 30,
  31, 32, 33, 34, 40, 41, 44, 49","6, 12, 28, 29, 30,
  31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49","2, 6, 7, 8, 9, 12,
  13, 16, 17, 18, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39,
  40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
34,구천동,37.27366,127.017893,"28, 29, 30,
  31, 32, 33, 34, 40, 41, 47, 49","6, 12, 23, 28, 29,
  30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48,
  49","2, 6, 7, 8, 9, 12,
  13, 17, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41,
  42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 55"
35,남수동,37.282371,127.020778,"28, 29, 30,
  31, 32, 35, 36, 37, 38, 39, 47","6, 8, 9, 28, 29, 30,
  31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 46, 47, 48, 49","1, 2, 6, 7, 8, 9, 11,
  12, 13, 17, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,
  43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
36,매향동,37.285238,127.021478,"28, 29, 31,
  35, 36, 37, 38, 39, 47, 48","6, 8, 9, 28, 29, 30,
  31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 45, 47, 48, 49","1, 2, 6, 7, 8, 9, 11,
  12, 13, 17, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,
  43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
37,북수동,37.285976,127.01643,"6, 28, 29, 31,
  35, 36, 37, 38, 39, 47","6, 8, 9, 28, 29, 30,
  31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 45, 46, 47, 48, 49","1, 2, 5, 6, 7, 8, 9,
  11, 12, 13, 17, 18, 19, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39,
  40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
38,신풍동,37.284288,127.012659,"6, 28, 29, 30,
  31, 35, 36, 37, 38, 39","2, 6, 8, 9, 28, 29,
  30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49","1, 2, 5, 6, 7, 8, 9,
  11, 12, 13, 17, 18, 19, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39,
  40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52"
